;Code;Composant;Description;Apparition;;Retour;;Modèle machine;Description;N. de série
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;02:25:46;18/07/2024;02:25:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;02:27:52;18/07/2024;03:26:16;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;02:31:22;18/07/2024;03:25:55;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;18/07/2024;05:12:46;18/07/2024;05:14:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;08:47:56;18/07/2024;08:48:01;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;10:25:28;18/07/2024;10:25:53;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;10:39:06;18/07/2024;10:42:01;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;00:34:56;19/07/2024;00:35:08;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;00:41:17;19/07/2024;01:09:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;00:44:46;19/07/2024;01:01:50;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;01:06:50;19/07/2024;01:09:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;02:48:13;19/07/2024;02:50:09;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;02:51:42;19/07/2024;04:21:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
