Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;L centre;29/08/2024 07:44:10;08:24:37;96;40;1,1;582;868
Central Brioche;L centre;29/08/2024 08:48:23;08:51:04;100;3;0,9;34;765
Central Brioche;L novotel;29/08/2024 08:53:07;09:10:12;100;17;1,7;394;1391
Central Brioche;L brioche;29/08/2024 09:10:44;10:16:19;100;66;0,7;616;566
grouper air fra;Parcours 5;29/08/2024 10:32:54;11:13:57;100;41;1,5;803;1179
grouper air fra;T F af;29/08/2024 11:14:39;11:16:17;100;2;2;40;1488
Central Brioche;T D centre;29/08/2024 11:23:46;11:25:23;100;2;1,4;29;1082
Central Brioche;L centre;29/08/2024 11:25:57;12:38:11;92;72;1,2;1138;949
Central Brioche;T D centre;30/08/2024 06:57:46;06:59:10;100;1;1,5;29;1250
Central Brioche;L centre;30/08/2024 06:59:43;08:19:14;99;80;1,2;1250;947
Central Brioche;T D centre;30/08/2024 08:49:39;08:51:03;100;1;1,5;29;1250
Central Brioche;L centre;30/08/2024 08:51:35;10:08:57;96;77;1,1;1196;931
grouper air fra;Parcours 5;30/08/2024 10:38:31;11:20:20;100;42;1,4;807;1163
grouper air fra;T F af;30/08/2024 11:21:02;11:22:30;100;1;2,2;41;1690
grouper air fra;Parcours 5;30/08/2024 11:26:49;12:08:37;100;42;1,4;806;1161
grouper air fra;T F af;30/08/2024 12:09:20;12:10:49;100;1;2,2;40;1657
