Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;L centre;03/10/2024 12:04;12:04:38;80;1;0,8;6;630
Central Brioche;T D centre;04/10/2024 06:31;06:32:48;100;1;1,6;29;1280
Central Brioche;L centre;04/10/2024 06:33;07:41:17;84;68;1,2;1054;935
Central Brioche;L centre;04/10/2024 07:42;07:57:55;100;15;1;207;806
Central Brioche;L novotel;04/10/2024 07:59;08:12:06;74;12;1,6;254;1257
Central Brioche;L novotel;04/10/2024 08:35;08:40:23;100;5;2;130;1642
Central Brioche;L brioche;04/10/2024 08:40;09:45:54;100;65;0,7;608;564
Central Brioche;T F brioche;04/10/2024 09:46;09:52:22;100;6;2;153;1557
grouper air fra;Parcours 5;04/10/2024 10:27;11:09:53;100;43;1,4;806;1136
grouper air fra;T F af;04/10/2024 11:10;11:12:04;100;2;2,2;40;1602
Central Brioche;T D centre;04/10/2024 11:34;11:36:21;100;1;1,5;29;1235
Central Brioche;L centre;04/10/2024 11:36;12:06:22;38;30;1,2;494;993
Central Brioche;L centre;04/10/2024 12:08;12:41:24;80;33;1,2;519;948
